#zcmb mu
5.000000000000000278e-02 3.663036108500460131e+01
1.000000000000000056e-01 3.823549917728984582e+01
1.500000000000000222e-01 3.914769084871757343e+01
2.000000000000000111e-01 3.983488010766377840e+01
2.500000000000000000e-01 4.034031868616494165e+01
2.999999999999999889e-01 4.081387463185208020e+01
3.500000000000000333e-01 4.120248722312742728e+01
4.000000000000000222e-01 4.156894627477019810e+01
4.500000000000000111e-01 4.182264967100101671e+01
5.000000000000000000e-01 4.213631123119483846e+01
5.500000000000000444e-01 4.235218102948098817e+01
6.000000000000000888e-01 4.259950483267474652e+01
6.500000000000001332e-01 4.279312120552584986e+01
7.000000000000000666e-01 4.294532246205920956e+01
7.500000000000001110e-01 4.312535120582757031e+01
8.000000000000000444e-01 4.331965465632178081e+01
8.981381957937740745e-01 4.364759383089445066e+01
9.962763915875482157e-01 4.401125622572146767e+01
1.094414587381322246e+00 4.419109243795961106e+01
1.232244445187521187e+00 4.457798461020987446e+01
1.390961254833751326e+00 4.484235772630916017e+01
2.262259999999999494e+00 4.599715949878712706e+01
